|number|name|position|height|weight|age|experience|school|
|20|David Baer|Handler|5-9|150|25|9|Shippensburg University|
|28|Mike Baer|Handler|5-9|145|22|8|Drexel University|
|13|David Brandolph|Handler|5-7|168|25|6|Arcadia University|
|5|Kevin Chiang|Cutter|5-9|145|25|8|West Chester University|
|6|Leon Chou|Cutter|5-9|140|24|5|University of Pennsylvania|
|4|Dustin Damiano|Cutter|5-11|165|22|5|Messiah College|
|79|Matthew Gallin|Handler|5-11|170|25|7|University of Delaware|
|14|Matthew Glazer|Cutter|5-11|140|28|9|Ithaca College|
|8|Alex Grintsvayg|Cutter|6-0|165|24|6|Rennselaer Polytechnic Institute|
|33|Jake Herman|Cutter|5-10|160|23|5|Middlebury College|
|7|Nick Hirannet|Handler|5-8|150|25|10|University of Delaware|
|42|Matt Jaffe|Cutter|6-1|183|21|4|Penn State University|
|0|Ben Johnson|Cutter|5-9|145|23|5|The College of New Jersey|
|25|Trey Katzenbach|Cutter|6-1|205|41|12|University of Pennsylvania|
|31|Patrick Lindsey|Cutter|6-4|170|26|8|Swarthmore College|
|71|Ian McClellan|Handler|5-11|170|31|17|Penn State University|
|81|Sean Murray|Cutter|6-1|170|30|12|Louisiana State University|
|15|Greg Owens|Cutter|6-1|172|23|7|The College of New Jersey|
|21|Michael Panna|Cutter|5-10|148|25|9|Neumann University|
|27|Jake Rainwater|Cutter|6-3|195|22|9|Dickinson College|
|16|Arthur Shull|Cutter|6-2|175|26|9|Cornell University|
|3|Harrison Treegoob|Handler|5-11|175|32|13|Penn State University|
|23|Stephen Thor|Cutter|5-9|140|22|7|Penn State University|
