name|number|college|UltimateTeam
Jonathan Helton|00|Wheaton|Indianapolis
Keenan Plew|1|Ball State|Indianapolis
Cameron Brock|3|Ball State|Indianapolis
Joey Cari|6|Anderson|Indianapolis
Cris Sackmann|7|Indiana|Indianapolis
Jared Payne|8|Indiana|Indianapolis
Nick Howard|9|Indiana|Indianapolis
Ian Collins|10|Cincinnati|Indianapolis
Troy Revell|12|UNC-Asheville|Indianapolis
Hans Rasmussen|14|Ball State|Indianapolis
Joe Oaks|17|Alabama|Indianapolis
Ben Ivers|19|Indiana|Indianapolis
Brodie Smith|21|Florida|Indianapolis
Kyle Cox|22|Indiana|Indianapolis
Joshua Sheppard|24|North Florida|Indianapolis
Yuri Kubo|27|Pudue|Indianapolis
Marc Huber|30|Austria|Indianapolis
Tim Johnson|31|Pennsylvania|Indianapolis
Travis Carpenter|37|IUPUI|Indianapolis
Eric Lewis|41|IUPUI|Indianapolis
Daniel Latz|42|Cincinnati|Indianapolis
Isaac Jeffries|46|Miami, FL|Indianapolis
Alex Krzywda|47|Purdue|Indianapolis
Kevin Chu|71|Notre Dame|Indianapolis
Jason Yoder|76|Indiana|Indianapolis
